Tweets Ago,compound,date,neg,neu,pos,time,user
30,0.0,2018-02-21,0.0,1.0,0.0,Wed Feb 21 19:20:04 +0000 2018,@CBS
31,0.6808,2018-02-21,0.0,0.752,0.248,Wed Feb 21 18:19:25 +0000 2018,@CBS
32,0.4404,2018-02-20,0.0,0.884,0.116,Tue Feb 20 19:55:19 +0000 2018,@CBS
33,-0.4019,2018-02-20,0.119,0.881,0.0,Tue Feb 20 17:58:18 +0000 2018,@CBS
34,0.3612,2018-02-20,0.0,0.872,0.128,Tue Feb 20 17:39:51 +0000 2018,@CBS
35,0.6124,2018-02-17,0.0,0.773,0.227,Sat Feb 17 01:07:20 +0000 2018,@CBS
36,0.3182,2018-02-16,0.0,0.892,0.108,Fri Feb 16 18:42:43 +0000 2018,@CBS
37,0.68,2018-02-16,0.0,0.752,0.248,Fri Feb 16 17:48:20 +0000 2018,@CBS
38,0.8619,2018-02-14,0.0,0.534,0.466,Wed Feb 14 19:23:27 +0000 2018,@CBS
39,0.0,2018-02-13,0.0,1.0,0.0,Tue Feb 13 20:03:56 +0000 2018,@CBS
40,0.7506,2018-02-13,0.0,0.748,0.252,Tue Feb 13 18:54:52 +0000 2018,@CBS
41,0.0,2018-02-12,0.0,1.0,0.0,Mon Feb 12 18:49:45 +0000 2018,@CBS
42,0.0,2018-02-12,0.0,1.0,0.0,Mon Feb 12 01:32:33 +0000 2018,@CBS
43,0.8478,2018-02-09,0.0,0.696,0.304,Fri Feb 09 00:50:01 +0000 2018,@CBS
44,-0.5859,2018-02-08,0.186,0.814,0.0,Thu Feb 08 16:09:35 +0000 2018,@CBS
45,0.0516,2018-02-07,0.0,0.934,0.066,Wed Feb 07 18:35:19 +0000 2018,@CBS
46,0.5574,2018-02-07,0.152,0.536,0.312,Wed Feb 07 16:17:48 +0000 2018,@CBS
47,0.0,2018-02-06,0.0,1.0,0.0,Tue Feb 06 22:21:39 +0000 2018,@CBS
48,0.0772,2018-02-06,0.106,0.773,0.121,Tue Feb 06 17:05:49 +0000 2018,@CBS
49,0.0,2018-02-04,0.0,1.0,0.0,Sun Feb 04 15:35:36 +0000 2018,@CBS
50,0.1531,2018-02-04,0.0,0.882,0.118,Sun Feb 04 12:00:01 +0000 2018,@CBS
51,0.0,2018-02-03,0.0,1.0,0.0,Sat Feb 03 23:11:43 +0000 2018,@CBS
52,0.8268,2018-02-03,0.0,0.662,0.338,Sat Feb 03 12:00:07 +0000 2018,@CBS
53,-0.0772,2018-02-02,0.075,0.925,0.0,Fri Feb 02 22:36:13 +0000 2018,@CBS
54,0.4019,2018-02-02,0.0,0.856,0.144,Fri Feb 02 20:07:40 +0000 2018,@CBS
55,0.4003,2018-02-02,0.0,0.876,0.124,Fri Feb 02 19:03:33 +0000 2018,@CBS
56,0.6114,2018-02-02,0.0,0.834,0.166,Fri Feb 02 17:23:18 +0000 2018,@CBS
57,0.0,2018-02-01,0.0,1.0,0.0,Thu Feb 01 22:04:41 +0000 2018,@CBS
58,0.0,2018-02-01,0.0,1.0,0.0,Thu Feb 01 20:09:49 +0000 2018,@CBS
59,0.1139,2018-01-31,0.0,0.912,0.088,Wed Jan 31 21:42:15 +0000 2018,@CBS
60,0.1007,2018-01-31,0.115,0.75,0.135,Wed Jan 31 17:05:47 +0000 2018,@CBS
61,0.4588,2018-01-31,0.0,0.812,0.188,Wed Jan 31 16:37:17 +0000 2018,@CBS
62,0.1779,2018-01-31,0.095,0.779,0.126,Wed Jan 31 06:55:30 +0000 2018,@CBS
63,-0.2263,2018-01-31,0.252,0.569,0.179,Wed Jan 31 02:15:16 +0000 2018,@CBS
64,-0.4767,2018-01-31,0.256,0.744,0.0,Wed Jan 31 01:58:40 +0000 2018,@CBS
65,0.4939,2018-01-31,0.119,0.625,0.256,Wed Jan 31 01:52:46 +0000 2018,@CBS
66,0.5093,2018-01-31,0.0,0.81,0.19,Wed Jan 31 01:49:43 +0000 2018,@CBS
67,0.8261,2018-01-31,0.0,0.566,0.434,Wed Jan 31 01:31:27 +0000 2018,@CBS
68,0.8309,2018-01-31,0.0,0.586,0.414,Wed Jan 31 01:29:10 +0000 2018,@CBS
69,0.6588,2018-01-31,0.0,0.614,0.386,Wed Jan 31 01:24:16 +0000 2018,@CBS
70,-0.5106,2018-01-31,0.398,0.602,0.0,Wed Jan 31 01:18:37 +0000 2018,@CBS
71,0.0,2018-01-31,0.0,1.0,0.0,Wed Jan 31 01:17:37 +0000 2018,@CBS
72,0.7525,2018-01-31,0.0,0.651,0.349,Wed Jan 31 01:16:15 +0000 2018,@CBS
73,0.0,2018-01-31,0.0,1.0,0.0,Wed Jan 31 01:08:01 +0000 2018,@CBS
74,0.8516,2018-01-31,0.0,0.42,0.58,Wed Jan 31 01:04:34 +0000 2018,@CBS
75,0.8442,2018-01-31,0.0,0.649,0.351,Wed Jan 31 01:00:35 +0000 2018,@CBS
76,0.923,2018-01-31,0.0,0.594,0.406,Wed Jan 31 00:55:04 +0000 2018,@CBS
77,0.5994,2018-01-31,0.0,0.794,0.206,Wed Jan 31 00:37:20 +0000 2018,@CBS
78,0.8834,2018-01-31,0.0,0.593,0.407,Wed Jan 31 00:11:53 +0000 2018,@CBS
79,0.8553,2018-01-30,0.0,0.724,0.276,Tue Jan 30 23:35:01 +0000 2018,@CBS
80,0.8553,2018-01-30,0.0,0.694,0.306,Tue Jan 30 21:19:22 +0000 2018,@CBS
81,0.9215,2018-01-30,0.0,0.609,0.391,Tue Jan 30 18:46:04 +0000 2018,@CBS
82,0.0,2018-01-30,0.0,1.0,0.0,Tue Jan 30 16:00:02 +0000 2018,@CBS
83,0.5994,2018-01-30,0.0,0.813,0.187,Tue Jan 30 04:03:31 +0000 2018,@CBS
84,0.6908,2018-01-30,0.0,0.711,0.289,Tue Jan 30 03:17:51 +0000 2018,@CBS
